show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s4424,Movie,Dhadak 2,Anurag Kashyap,"Jung Ho-yeon, Kangana Ranaut",Germany,2021-06-22,2005,PG-13,160 min,"Documentaries, International Movies",The future of humanity rests in the hands of an unlikely hero.
s4425,Movie,Killing Eve,Zoya Akhtar,"Ajith, Song Kang-ho, Cate Blanchett, Ranbir Kapoor",United States,2017-05-14,2002,TV-14,94 min,Music & Musicals,"When old enemies become allies, the fate of the world hangs in the balance."
s4426,Movie,Love in Paris 5,Zoya Akhtar,"Natalie Portman, Park Seo-jun, Prabhas, Brad Pitt, Shah Rukh Khan",Colombia,2015-11-17,2009,TV-Y,155 min,"International Movies, Independent Movies, Stand-Up Comedy",An extraordinary journey through time and space that will change everything you know.
s4427,Movie,The Experiment,J.J. Abrams,"Priyanka Chopra, Brad Pitt",Argentina,2021-01-18,2008,TV-14,118 min,"Horror Movies, Action & Adventure","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s4428,TV Show,Ozark Season 5,Unknown,"Deepika Padukone, Alia Bhatt, Aamir Khan, Tom Hanks, Prabhas",South Africa,2019-09-27,2002,TV-MA,7 Seasons,"Anime Series, Stand-Up Comedy",A family torn apart by tragedy must find a way back to each other.
s4429,Movie,La Casa del Fuego,Priyadarshan,"Prabhas, Ranveer Singh, Leonardo DiCaprio, Robert Downey Jr",United States,2018-12-02,2000,TV-14,110 min,Music & Musicals,An estranged father and daughter reconnect on an unexpected road trip.
s4430,TV Show,Bridgerton S4 S3,Unknown,"Natalie Portman, Ranveer Singh",United States,2018-08-15,2009,TV-MA,1 Season,"Sports TV, TV Action & Adventure, Crime TV Shows","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s4431,TV Show,House of Cards Returns S5,Alfonso Cuaron,"Park Seo-jun, Lee Min-ho, Cate Blanchett",Philippines,2016-04-14,2002,TV-PG,5 Seasons,Anime Series,A young woman discovers her true identity and must choose between two worlds.
s4432,Movie,La Casa del Fuego,Imtiaz Ali,"Scarlett Johansson, Natalie Portman, Leonardo DiCaprio, Priyanka Chopra, Alia Bhatt",France,2019-02-22,2016,TV-MA,102 min,"Thrillers, Animated Movies, Music & Musicals","Crime, politics, and power intertwine in this explosive thriller."
s4433,Movie,All of Us Are Dead 3,Greta Gerwig,"Leonardo DiCaprio, Robert Downey Jr",China,2018-01-26,2019,R,78 min,"International Movies, Music & Musicals, Classic Movies","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s4434,TV Show,Narcos Season 7,Unknown,"Aamir Khan, Brad Pitt, Kim Go-eun, Allu Arjun, Vidya Balan",Japan,2016-10-22,2007,NC-17,2 Seasons,Docuseries,A chef's obsession with perfection leads to unexpected discoveries about life.
s4435,Movie,La Casa del Fuego 3,Jordan Peele,"Kangana Ranaut, Song Kang-ho, Ranveer Singh, Shah Rukh Khan, Jung Ho-yeon",United States,2021-05-16,2004,TV-14,75 min,"International Movies, Classic Movies, Sci-Fi & Fantasy","In a small town, everyone has something to hide â and someone is watching."
s4436,TV Show,Twenty Five Twenty One,Unknown,"Scarlett Johansson, Tom Hanks, Natalie Portman, Jung Ho-yeon, Robert Downey Jr",South Africa,2015-04-28,2019,TV-MA,2 Seasons,"Korean TV Shows, TV Dramas","When old enemies become allies, the fate of the world hangs in the balance."
s4437,Movie,The Clone,J.J. Abrams,"Jung Ho-yeon, Shah Rukh Khan, Chris Evans, Kim Go-eun",United States,2019-11-07,2006,TV-MA,167 min,Thrillers,"When old enemies become allies, the fate of the world hangs in the balance."
s4438,TV Show,Elite S8 S4,Unknown,"Kim Go-eun, Ranbir Kapoor, Aamir Khan",United States,2020-03-10,2016,TV-14,2 Seasons,"International TV Shows, Korean TV Shows",An extraordinary journey through time and space that will change everything you know.
s4439,TV Show,Narcos Season 7,Peter Jackson,"Rajinikanth, Lee Min-ho, Ajith, Meryl Streep, Vidya Balan",Indonesia,2015-09-03,2018,NR,4 Seasons,"TV Thrillers, British TV Shows",A chef's obsession with perfection leads to unexpected discoveries about life.
s4440,Movie,The Maze,Chloe Zhao,"Kim Go-eun, Jung Ho-yeon, Natalie Portman, Kangana Ranaut",United States,2016-08-22,2001,PG-13,145 min,Children & Family Movies,"Crime, politics, and power intertwine in this explosive thriller."
s4441,TV Show,Squid Game S2 S5,Anurag Kashyap,"Tom Hanks, Meryl Streep, Ranbir Kapoor, Deepika Padukone, Lee Min-ho",Colombia,2015-10-07,2010,PG-13,4 Seasons,Nature & Science TV,Three strangers are brought together by fate in a life-changing adventure.
s4442,Movie,Black Mirror,Greta Gerwig,"Natalie Portman, Aamir Khan",United States,2020-08-13,2002,PG-13,90 min,"Horror Movies, Thrillers",A comedian's rise to fame is complicated by dark secrets from the past.
s4443,Movie,The Hunt,Rajkumar Hirani,"Chris Evans, Jennifer Lawrence, Leonardo DiCaprio, Prabhas",Mexico,2020-08-05,2008,R,180 min,"Stand-Up Comedy, Romantic Movies","Based on true events, this story will shock and inspire in equal measure."
s4444,TV Show,Fauda S5 S3,Ridley Scott,"Kim Go-eun, Ranveer Singh, Priyanka Chopra, Kangana Ranaut",United States,2018-10-27,2005,R,5 Seasons,"Spirituality, TV Sci-Fi & Fantasy, Nature & Science TV",A comedian's rise to fame is complicated by dark secrets from the past.
s4445,Movie,The Dark Side,Christopher Nolan,"Park Seo-jun, Lee Min-ho",United States,2017-06-17,2012,R,80 min,"Action & Adventure, Sci-Fi & Fantasy",A young woman discovers her true identity and must choose between two worlds.
s4446,Movie,Ocean's Secret,S.S. Rajamouli,"Allu Arjun, Rajinikanth",United States,2018-11-01,2011,NC-17,157 min,"Classic Movies, Documentaries",A family torn apart by tragedy must find a way back to each other.
s4447,Movie,White Noise,Patty Jenkins,"Ajith, Park Seo-jun, Tom Hanks, Alia Bhatt",United States,2015-12-14,2007,TV-14,147 min,Classic Movies,A chef's obsession with perfection leads to unexpected discoveries about life.
s4448,Movie,Bajirao 2 3,Zack Snyder,"Shah Rukh Khan, Kangana Ranaut",Brazil,2020-08-22,2016,TV-Y,176 min,Thrillers,"Crime, politics, and power intertwine in this explosive thriller."
s4449,Movie,Dilwale Returns,Sanjay Leela Bhansali,"Cate Blanchett, Chris Evans",United States,2019-01-01,2008,TV-MA,93 min,Sports Movies,An extraordinary journey through time and space that will change everything you know.
s4450,Movie,Hollow Man 2,Christopher Nolan,"Chris Evans, Ranveer Singh, Natalie Portman",Philippines,2018-01-06,2000,PG,163 min,"Sports Movies, Stand-Up Comedy",A gripping tale of survival and redemption in a world gone mad.
s4451,Movie,Kal Ho Naa Ho Again,Greta Gerwig,"Lee Min-ho, Aamir Khan",Mexico,2016-10-20,2008,PG-13,86 min,"Stand-Up Comedy, Children & Family Movies",An extraordinary journey through time and space that will change everything you know.
s4452,Movie,Shadow Games 3,Quentin Tarantino,"Lee Min-ho, Leonardo DiCaprio",Brazil,2016-01-05,2010,TV-G,151 min,Sci-Fi & Fantasy,A gripping tale of survival and redemption in a world gone mad.
s4453,Movie,The Awakening 3,Martin Scorsese,"Ranbir Kapoor, Kim Go-eun, Cate Blanchett",Italy,2015-05-27,2020,TV-14,131 min,"Children & Family Movies, Animated Movies, Classic Movies","In the shadows of a corrupt government, a resistance movement fights for freedom."
s4454,Movie,The Heist 2,Steven Spielberg,"Jung Ho-yeon, Ajith",Canada,2020-12-18,2000,TV-MA,176 min,"Classic Movies, International Movies, Independent Movies",Behind every great fortune lies a great crime in this riveting saga.
s4455,Movie,The Hunt,Ram Gopal Varma,"Jennifer Lawrence, Prabhas, Tom Hanks",Italy,2017-11-25,2014,TV-G,98 min,"Comedies, Dramas","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s4456,Movie,The Perfect Storm,Peter Jackson,"Tom Hanks, Robert Downey Jr",United States,2020-06-01,2013,PG,77 min,Sci-Fi & Fantasy,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s4457,Movie,La Casa del Fuego 2,Peter Jackson,"Song Kang-ho, Ajith, Allu Arjun",Nigeria,2019-05-28,2011,TV-14,127 min,"Sci-Fi & Fantasy, International Movies, Documentaries","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s4458,Movie,The Dark Side,Sanjay Leela Bhansali,"Song Kang-ho, Cate Blanchett, Park Seo-jun",United States,2018-04-06,2004,R,148 min,"Horror Movies, Music & Musicals, Faith & Spirituality",A chef's obsession with perfection leads to unexpected discoveries about life.
s4459,TV Show,The Family Man,Zoya Akhtar,"Shah Rukh Khan, Vidya Balan",Italy,2017-02-28,2002,G,2 Seasons,"Anime Series, British TV Shows, Crime TV Shows",An estranged father and daughter reconnect on an unexpected road trip.
s4460,TV Show,Squid Game S2,Patty Jenkins,"Prabhas, Robert Downey Jr, Brad Pitt, Kim Go-eun",Turkey,2019-11-17,2021,PG-13,7 Seasons,"TV Dramas, TV Action & Adventure","When love meets destiny, nothing will ever be the same again."
s4461,Movie,Sacred Ground 3,S.S. Rajamouli,"Jennifer Lawrence, Leonardo DiCaprio, Ajith, Deepika Padukone",United States,2017-12-07,2006,PG-13,168 min,Sci-Fi & Fantasy,"When love meets destiny, nothing will ever be the same again."
s4462,Movie,Pyaar Ka Saaya,Zoya Akhtar,"Kangana Ranaut, Chris Evans, Robert Downey Jr",United States,2015-03-20,2006,TV-14,144 min,"Cult Movies, Classic Movies","Passion, betrayal, and revenge collide in this thrilling drama."
s4463,Movie,Sacred Ground,J.J. Abrams,"Priyanka Chopra, Aamir Khan, Shah Rukh Khan, Jung Ho-yeon",Australia,2017-06-13,2019,PG-13,135 min,"Action & Adventure, International Movies","Passion, betrayal, and revenge collide in this thrilling drama."
s4464,Movie,Hellbound 2,Alfonso Cuaron,"Ranveer Singh, Ranbir Kapoor, Jennifer Lawrence",India,2018-04-01,2011,R,115 min,"International Movies, Horror Movies, Classic Movies",A comedian's rise to fame is complicated by dark secrets from the past.
s4465,Movie,The Dark Side,Chloe Zhao,"Robert Downey Jr, Rajinikanth, Meryl Streep, Lee Min-ho, Prabhas",United States,2016-08-22,2007,TV-PG,119 min,"Children & Family Movies, Dramas","In the shadows of a corrupt government, a resistance movement fights for freedom."
s4466,Movie,City of Lies,Christopher Nolan,"Ranbir Kapoor, Scarlett Johansson, Rajinikanth",United Kingdom,2017-02-26,2009,R,177 min,"Action & Adventure, Thrillers","In the shadows of a corrupt government, a resistance movement fights for freedom."
s4467,TV Show,The Valhalla Murders S2 S3,Tim Burton,"Vijay, Rajinikanth, Tom Hanks",Italy,2018-02-17,2018,R,7 Seasons,Nature & Science TV,"When old enemies become allies, the fate of the world hangs in the balance."
s4468,Movie,Squid Game: The Movie,Anurag Kashyap,"Cate Blanchett, Allu Arjun, Meryl Streep, Ranveer Singh",United States,2020-09-25,2010,PG-13,89 min,Comedies,"When old enemies become allies, the fate of the world hangs in the balance."
s4469,Movie,The Awakening,Patty Jenkins,"Vijay, Salman Khan, Park Seo-jun, Kim Go-eun",India,2019-07-09,2017,TV-MA,175 min,Romantic Movies,The future of humanity rests in the hands of an unlikely hero.
s4470,Movie,Fatal Attraction,Denis Villeneuve,"Ajith, Aamir Khan, Allu Arjun, Alia Bhatt",Nigeria,2019-09-17,2008,PG-13,99 min,"Stand-Up Comedy, Children & Family Movies, Action & Adventure",The future of humanity rests in the hands of an unlikely hero.
s4471,Movie,Black Mirror,Rajkumar Hirani,"Kim Go-eun, Cate Blanchett",Germany,2016-06-21,2012,PG-13,161 min,"Horror Movies, Faith & Spirituality","Love, loss, and the power of human connection in trying times."
s4472,Movie,White Noise 5,Wes Anderson,"Cate Blanchett, Deepika Padukone, Scarlett Johansson, Allu Arjun",France,2018-03-27,2007,R,114 min,Classic Movies,The future of humanity rests in the hands of an unlikely hero.
s4473,TV Show,Narcos Season 7 S4,Jordan Peele,"Natalie Portman, Aamir Khan, Kim Go-eun",India,2019-05-09,2012,PG-13,2 Seasons,"Anime Series, TV Sci-Fi & Fantasy","When love meets destiny, nothing will ever be the same again."
s4474,TV Show,La Casa de Papel S6,Unknown,"Cate Blanchett, Ajith",Australia,2017-01-20,2002,TV-14,4 Seasons,Docuseries,A chef's obsession with perfection leads to unexpected discoveries about life.
s4475,TV Show,Fauda S5,Ram Gopal Varma,"Rajinikanth, Salman Khan, Deepika Padukone, Shah Rukh Khan, Cate Blanchett",Colombia,2019-01-25,2004,TV-MA,2 Seasons,"TV Thrillers, TV Sci-Fi & Fantasy",An estranged father and daughter reconnect on an unexpected road trip.
s4476,Movie,The Last Stand 2,Bong Joon-ho,"Alia Bhatt, Prabhas, Kangana Ranaut, Jennifer Lawrence",United Kingdom,2021-06-09,2002,TV-14,93 min,"Documentaries, Horror Movies","Based on true events, this story will shock and inspire in equal measure."
s4477,TV Show,Delhi Crime,Denis Villeneuve,"Song Kang-ho, Ajith, Deepika Padukone",France,2016-12-25,2019,R,2 Seasons,"TV Dramas, Nature & Science TV, Kids' TV",A comedian's rise to fame is complicated by dark secrets from the past.
s4478,TV Show,Club de Cuervos S5 S3,Sanjay Leela Bhansali,"Ranbir Kapoor, Chris Evans, Cate Blanchett, Ajith, Natalie Portman",United Kingdom,2017-10-10,2021,TV-MA,4 Seasons,Stand-Up Comedy,"In a small town, everyone has something to hide â and someone is watching."
s4479,TV Show,Tehran S3 S4,Zoya Akhtar,"Lee Min-ho, Deepika Padukone, Kim Go-eun, Jung Ho-yeon, Salman Khan",Nigeria,2019-08-23,2004,R,5 Seasons,TV Thrillers,Three strangers are brought together by fate in a life-changing adventure.
s4480,Movie,Lupin Returns,James Cameron,"Prabhas, Alia Bhatt, Jung Ho-yeon, Natalie Portman, Brad Pitt",Egypt,2016-12-14,2014,TV-14,91 min,"Cult Movies, Thrillers","In the shadows of a corrupt government, a resistance movement fights for freedom."
s4481,TV Show,Scam 2023,Jordan Peele,"Robert Downey Jr, Jennifer Lawrence, Aamir Khan",France,2018-03-02,2020,TV-MA,6 Seasons,"Docuseries, Crime TV Shows, Romantic TV Shows","When old enemies become allies, the fate of the world hangs in the balance."
s4482,Movie,Chennai Express 2 3,Zoya Akhtar,"Salman Khan, Prabhas, Meryl Streep, Lee Min-ho",Nigeria,2017-06-20,2003,TV-14,100 min,"Dramas, Animated Movies, Faith & Spirituality","Love, loss, and the power of human connection in trying times."
s4483,Movie,Beyond the Stars 3,Wes Anderson,"Rajinikanth, Chris Evans, Ajith, Allu Arjun",China,2017-04-10,2006,TV-PG,88 min,"Comedies, Faith & Spirituality",A chef's obsession with perfection leads to unexpected discoveries about life.
s4484,TV Show,Hit & Run S2 S3,Tim Burton,"Aamir Khan, Tom Hanks",United States,2021-02-12,2018,R,5 Seasons,"Docuseries, Nature & Science TV, TV Action & Adventure","When old enemies become allies, the fate of the world hangs in the balance."
s4485,Movie,The Golden Age,Tim Burton,"Natalie Portman, Aamir Khan, Cate Blanchett",United States,2018-11-24,2020,PG-13,146 min,"Independent Movies, Animated Movies",The future of humanity rests in the hands of an unlikely hero.
s4486,Movie,The Awakening 2,Ryan Coogler,"Meryl Streep, Rajinikanth",Philippines,2017-03-06,2007,R,128 min,"Music & Musicals, Horror Movies, Dramas",A family torn apart by tragedy must find a way back to each other.
s4487,TV Show,Delhi Crime,Unknown,"Park Seo-jun, Kangana Ranaut, Robert Downey Jr, Shah Rukh Khan",Spain,2015-03-25,2015,TV-MA,4 Seasons,International TV Shows,An estranged father and daughter reconnect on an unexpected road trip.
s4488,Movie,El Camino 2,J.J. Abrams,"Prabhas, Kim Go-eun",Japan,2016-02-12,2005,PG-13,166 min,"Classic Movies, Thrillers, Faith & Spirituality",A chef's obsession with perfection leads to unexpected discoveries about life.
s4489,TV Show,Ozark Season 5,Peter Jackson,"Scarlett Johansson, Cate Blanchett",United States,2019-09-13,2008,UR,4 Seasons,"TV Mysteries, Crime TV Shows, Korean TV Shows",A young woman discovers her true identity and must choose between two worlds.
s4490,TV Show,Emily in Paris,Zack Snyder,"Ranveer Singh, Scarlett Johansson, Meryl Streep",United Kingdom,2021-11-22,2015,TV-MA,5 Seasons,Nature & Science TV,"In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s4491,TV Show,Scam 2023 S2,James Cameron,"Meryl Streep, Scarlett Johansson, Rajinikanth, Jennifer Lawrence, Tom Hanks",Egypt,2016-04-04,2002,TV-14,6 Seasons,"International TV Shows, Kids' TV","When old enemies become allies, the fate of the world hangs in the balance."
s4492,Movie,Eternal Flame,Priyadarshan,"Kim Go-eun, Song Kang-ho, Vidya Balan",Turkey,2019-01-09,2018,TV-Y7,161 min,Action & Adventure,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s4493,Movie,Bollywood Nights,Mani Ratnam,"Vidya Balan, Kangana Ranaut, Deepika Padukone, Robert Downey Jr, Salman Khan",Egypt,2017-12-01,2005,TV-14,121 min,"Comedies, International Movies","Love, loss, and the power of human connection in trying times."
s4494,Movie,Sweet Home 2,James Cameron,"Vijay, Rajinikanth",India,2018-07-27,2020,PG-13,71 min,"Horror Movies, Independent Movies",A gripping tale of survival and redemption in a world gone mad.
s4495,Movie,Silent Storm,Patty Jenkins,"Tom Hanks, Scarlett Johansson, Ranbir Kapoor, Brad Pitt, Aamir Khan",Thailand,2019-11-11,2003,TV-Y,103 min,"Animated Movies, Dramas","In the shadows of a corrupt government, a resistance movement fights for freedom."
s4496,Movie,Broken Wings,Quentin Tarantino,"Rajinikanth, Allu Arjun, Scarlett Johansson",India,2018-04-15,2006,R,168 min,Independent Movies,A family torn apart by tragedy must find a way back to each other.
s4497,TV Show,Money Heist Returns S2,Unknown,"Alia Bhatt, Vijay, Salman Khan",Argentina,2015-07-07,2003,G,5 Seasons,"TV Horror, Crime TV Shows, Stand-Up Comedy","Crime, politics, and power intertwine in this explosive thriller."
s4498,Movie,Shadow Games,Alfonso Cuaron,"Ranveer Singh, Natalie Portman, Deepika Padukone, Park Seo-jun, Allu Arjun",Canada,2015-08-26,2007,UR,98 min,"Horror Movies, Thrillers, Comedies","Based on true events, this story will shock and inspire in equal measure."
s4499,Movie,The Last Stand,Steven Spielberg,"Brad Pitt, Kangana Ranaut",Italy,2019-03-04,2021,R,114 min,Cult Movies,"Based on true events, this story will shock and inspire in equal measure."
s4500,Movie,Blue Moon 3,Sanjay Leela Bhansali,"Lee Min-ho, Brad Pitt, Kim Go-eun, Robert Downey Jr, Kangana Ranaut",United States,2018-11-04,2000,TV-14,74 min,Sci-Fi & Fantasy,A chef's obsession with perfection leads to unexpected discoveries about life.
s4501,Movie,El Camino 2 3,Sanjay Leela Bhansali,"Alia Bhatt, Prabhas, Vijay",United States,2016-06-07,2014,R,156 min,"Horror Movies, Music & Musicals","When love meets destiny, nothing will ever be the same again."
s4502,Movie,Edge of Tomorrow,Anurag Kashyap,"Shah Rukh Khan, Prabhas, Salman Khan, Alia Bhatt",Indonesia,2020-09-15,2004,PG,148 min,"Stand-Up Comedy, Music & Musicals",Behind every great fortune lies a great crime in this riveting saga.
s4503,TV Show,Elite S8 S5,S.S. Rajamouli,"Deepika Padukone, Tom Hanks, Park Seo-jun, Shah Rukh Khan, Ranveer Singh",Spain,2021-09-07,2019,TV-Y7,1 Season,TV Sci-Fi & Fantasy,A comedian's rise to fame is complicated by dark secrets from the past.
s4504,Movie,Fire and Ice 5,Greta Gerwig,"Scarlett Johansson, Natalie Portman, Jennifer Lawrence, Ranveer Singh, Rajinikanth",South Korea,2021-04-13,2014,TV-MA,151 min,International Movies,"In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s4505,TV Show,Squid Game S2,Unknown,"Song Kang-ho, Ajith",Philippines,2020-01-09,2006,TV-MA,5 Seasons,TV Dramas,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s4506,Movie,Crimson Tide,Ram Gopal Varma,"Shah Rukh Khan, Rajinikanth",India,2019-04-12,2021,PG-13,158 min,"Sports Movies, Animated Movies, Documentaries",A young woman discovers her true identity and must choose between two worlds.
s4507,Movie,The Awakening,Ram Gopal Varma,"Ajith, Natalie Portman",Colombia,2017-04-28,2014,R,82 min,"Romantic Movies, Documentaries, Stand-Up Comedy",Behind every great fortune lies a great crime in this riveting saga.
s4508,Movie,Delhi Crime Story,Tim Burton,"Prabhas, Jung Ho-yeon, Scarlett Johansson",United States,2020-12-14,2018,PG-13,157 min,"Comedies, Children & Family Movies","Passion, betrayal, and revenge collide in this thrilling drama."
s4509,Movie,The Experiment 2,Alfonso Cuaron,"Salman Khan, Kangana Ranaut",Colombia,2019-06-24,2017,TV-PG,80 min,"Cult Movies, Animated Movies, Sci-Fi & Fantasy","Passion, betrayal, and revenge collide in this thrilling drama."
s4510,Movie,Hellbound 4,Ryan Coogler,"Jung Ho-yeon, Meryl Streep, Jennifer Lawrence, Prabhas",United States,2019-06-21,2002,PG-13,89 min,"Independent Movies, Sports Movies, Horror Movies",An estranged father and daughter reconnect on an unexpected road trip.
s4511,Movie,Money Heist: Korea 3,Steven Spielberg,"Cate Blanchett, Priyanka Chopra",Germany,2019-06-05,2003,TV-14,75 min,"Music & Musicals, Sci-Fi & Fantasy, Sports Movies","Based on true events, this story will shock and inspire in equal measure."
s4512,Movie,Crimson Tide,Zoya Akhtar,"Park Seo-jun, Kim Go-eun, Natalie Portman, Shah Rukh Khan",Mexico,2017-05-26,2002,TV-MA,135 min,Horror Movies,"Love, loss, and the power of human connection in trying times."
s4513,Movie,Squid Game: The Movie 3,Priyadarshan,"Kangana Ranaut, Chris Evans, Ranveer Singh, Alia Bhatt",India,2021-06-15,2006,TV-PG,98 min,"Classic Movies, Children & Family Movies, Documentaries","Crime, politics, and power intertwine in this explosive thriller."
s4514,Movie,The Clone,David Fincher,"Allu Arjun, Robert Downey Jr, Leonardo DiCaprio",Turkey,2017-10-20,2003,R,156 min,Sports Movies,An extraordinary journey through time and space that will change everything you know.
s4515,Movie,The Heist 5,Jordan Peele,"Natalie Portman, Leonardo DiCaprio",Egypt,2018-01-08,2013,TV-14,149 min,"Cult Movies, Romantic Movies, Classic Movies",An extraordinary journey through time and space that will change everything you know.
s4516,TV Show,The Crown S7 S2,Unknown,"Ranbir Kapoor, Lee Min-ho, Tom Hanks",France,2020-09-26,2002,PG-13,3 Seasons,"Nature & Science TV, Romantic TV Shows","In a small town, everyone has something to hide â and someone is watching."
s4517,Movie,Silent Storm,Steven Spielberg,"Jennifer Lawrence, Aamir Khan, Vidya Balan, Shah Rukh Khan",United States,2016-06-26,2010,TV-MA,128 min,"Horror Movies, Sports Movies, Music & Musicals",An extraordinary journey through time and space that will change everything you know.
s4518,Movie,Blood Money,Quentin Tarantino,"Meryl Streep, Natalie Portman",Turkey,2016-11-12,2009,PG,170 min,"Sci-Fi & Fantasy, Romantic Movies","Love, loss, and the power of human connection in trying times."
s4519,Movie,All of Us Are Dead 5,Alfonso Cuaron,"Alia Bhatt, Ajith, Scarlett Johansson, Allu Arjun, Aamir Khan",Thailand,2018-01-20,2007,PG-13,78 min,"Faith & Spirituality, Independent Movies, Stand-Up Comedy",A chef's obsession with perfection leads to unexpected discoveries about life.
s4520,Movie,Crimson Tide,Rajkumar Hirani,"Jung Ho-yeon, Ajith",India,2017-05-18,2003,TV-PG,168 min,"Romantic Movies, Documentaries, Cult Movies",A gripping tale of survival and redemption in a world gone mad.
s4521,TV Show,Scam 2023,Shankar,"Salman Khan, Kangana Ranaut",China,2018-08-20,2016,TV-14,5 Seasons,"Crime TV Shows, Korean TV Shows",Three strangers are brought together by fate in a life-changing adventure.
s4522,Movie,The Dark Side 5,Quentin Tarantino,"Chris Evans, Jung Ho-yeon, Lee Min-ho",United States,2018-08-11,2019,PG-13,157 min,"Faith & Spirituality, Comedies","Based on true events, this story will shock and inspire in equal measure."
s4523,Movie,The Perfect Storm 3,Zack Snyder,"Vijay, Jennifer Lawrence",Mexico,2018-01-15,2020,G,125 min,Stand-Up Comedy,Behind every great fortune lies a great crime in this riveting saga.
s4524,TV Show,Emily in Paris S5,Unknown,"Salman Khan, Ajith, Deepika Padukone",United States,2021-06-19,2016,TV-MA,2 Seasons,TV Thrillers,"Based on true events, this story will shock and inspire in equal measure."
s4525,TV Show,Dark Chronicles,Sanjay Leela Bhansali,"Allu Arjun, Brad Pitt, Scarlett Johansson, Salman Khan",United Kingdom,2018-02-07,2015,G,3 Seasons,Nature & Science TV,"When old enemies become allies, the fate of the world hangs in the balance."
s4526,TV Show,Club de Cuervos S5,Unknown,"Song Kang-ho, Park Seo-jun",United States,2020-08-21,2009,R,2 Seasons,"Reality TV, Sports TV, Spirituality","Crime, politics, and power intertwine in this explosive thriller."
s4527,Movie,City of Lies,Alfonso Cuaron,"Cate Blanchett, Priyanka Chopra",United States,2020-06-26,2004,TV-14,133 min,"Sports Movies, Cult Movies, Independent Movies","When love meets destiny, nothing will ever be the same again."
s4528,TV Show,Stranger Things 5,Priyadarshan,"Tom Hanks, Prabhas, Allu Arjun",Italy,2021-01-05,2001,TV-MA,7 Seasons,"TV Comedies, Docuseries, Crime TV Shows",A young woman discovers her true identity and must choose between two worlds.
s4529,Movie,Squid Game: The Movie 4,Wes Anderson,"Alia Bhatt, Deepika Padukone, Tom Hanks",United States,2018-09-11,2014,TV-MA,180 min,Sci-Fi & Fantasy,The future of humanity rests in the hands of an unlikely hero.
s4530,TV Show,Twenty Five Twenty One,Unknown,"Deepika Padukone, Ranveer Singh, Cate Blanchett",United States,2021-06-26,2001,TV-14,3 Seasons,"TV Dramas, Anime Series","When love meets destiny, nothing will ever be the same again."
s4531,TV Show,Ozark Season 5 S3,Sanjay Leela Bhansali,"Jennifer Lawrence, Prabhas, Kangana Ranaut, Ranbir Kapoor, Rajinikanth",France,2018-01-07,2009,R,2 Seasons,TV Horror,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s4532,Movie,Fire and Ice,Alfonso Cuaron,"Park Seo-jun, Deepika Padukone, Robert Downey Jr",Japan,2015-10-12,2015,R,142 min,"Thrillers, Action & Adventure","Love, loss, and the power of human connection in trying times."
s4533,Movie,Shadow Games 2,Zack Snyder,"Jennifer Lawrence, Ajith, Park Seo-jun, Ranbir Kapoor",Germany,2021-03-20,2004,R,153 min,"Cult Movies, Faith & Spirituality, Independent Movies",A comedian's rise to fame is complicated by dark secrets from the past.
s4534,TV Show,Scam 2023 S2,Shankar,"Park Seo-jun, Aamir Khan, Shah Rukh Khan, Natalie Portman, Brad Pitt",Spain,2021-09-20,2000,G,1 Season,"International TV Shows, Docuseries, Spirituality",An extraordinary journey through time and space that will change everything you know.
s4535,Movie,Ocean's Secret,Priyadarshan,"Natalie Portman, Park Seo-jun, Song Kang-ho, Chris Evans, Leonardo DiCaprio",United States,2018-04-12,2019,TV-MA,90 min,"Children & Family Movies, Faith & Spirituality, Animated Movies","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s4536,Movie,Red Alert,Wes Anderson,"Natalie Portman, Ranveer Singh, Kim Go-eun, Vidya Balan",United States,2017-06-20,2007,TV-14,144 min,"Classic Movies, Stand-Up Comedy",A family torn apart by tragedy must find a way back to each other.
s4537,Movie,Fire and Ice,Rajkumar Hirani,"Ranbir Kapoor, Ajith",India,2016-02-06,2000,TV-MA,169 min,"Romantic Movies, International Movies",A gripping tale of survival and redemption in a world gone mad.
s4538,Movie,The Secret Garden,Quentin Tarantino,"Leonardo DiCaprio, Meryl Streep, Priyanka Chopra",Turkey,2015-05-05,2020,TV-MA,103 min,Classic Movies,An estranged father and daughter reconnect on an unexpected road trip.
s4539,Movie,Chennai Express 2,Denis Villeneuve,"Tom Hanks, Shah Rukh Khan, Kim Go-eun, Ranbir Kapoor",United States,2019-05-14,2013,G,73 min,Sports Movies,A family torn apart by tragedy must find a way back to each other.
